Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,322910000,564600000,593000000,1039000000,1490000000,120000000,165000000,1826100000,1151820000,2060400000,160000000
Bangladesh,137130000,324507000,1527800000,40300000,516500000,300000000,170000000,438000000,269000000,35710000,2087000000
Brazil,11838300000,16912300000,30347030000,10075420000,10077600000,5805180000,14598300000,6515000000,4953540000,1494657000,5674730000
China,421470000,2671140000,3182820000,3691600000,16475000000,31866500000,33868910000,29502700000,68700000000,84100000000,8381800000
Ivore Coast,5500000,5500000,50000000,350000000,269000000,222000000,118000000,210000000,223400000,216040000,810240000
Colombia,235016000,684000000,45000000,1400000000,774600000,59000000,2265000000,6430000000,78000000,165200000,205230000
Costa Rica,72000000,235000000,273000000,415600000,165000000,143000000,460000000,293000000,32000000,17000000,342000000
Germany,40000000000,39000000000,27400000000,18800000000,24000000000,18500000000,19800000000,14600000000,10500000000,12700000000,38000000000
Dominican Republic,30000000,365700000,190000000,234000000,277000000,204500000,183000000,125000000,166050000,78000000,34000000
Egypt,314700000,224000000,276000000,32600000,56900000,87400000,106000000,2400030000,302000000,335000000,381000000
Spain,1270000000,4840000000,3320000000,1980000000,2130000000,556000000,641000000,438000000,569400000,677000000,948600000
France,6300000000,10500000000,7460000000,5210000000,7320000000,4160000000,4330000000,5000000000,4470000000,3980000000,20100000000
United Kingdom,3859000000,5233000000,5622000000,5981000000,6355000000,12550000000,7544000000,6202000000,8860000000,5556000000,4228000000
Ghana,278000000,360000000,440000000,572300000,900000000,605300000,752000000,892700000,1045400000,1533000000,744600000
Honduras,250000000,144500000,269700000,316800000,562300000,430000000,349300000,259600000,399700000,634200000,756000000
Croatia,47000000,72200000,11270000,15930000,21590000,25350000,29610000,33570000,37730000,41090000,42350000
Indonesia,2300000000,366000000,1901000000,1936700000,1690500000,191000000,2068800000,2839500000,3420100000,2940000000,3560000000
India,34474510000,22038050000,9246100000,3104900000,2816630000,2086940000,1686930000,1311630000,1639510000,856350000,3389000000
Italy,2424000000,3263000000,5617000000,4355000000,1479000000,2133000000,2216000000,2550000000,2430000000,5438000000,4381000000
Jordan,569000000,950000000,350000000,1102000000,191000000,428000000,952100000,753700000,165000000,747000000,654000000
Japan,8904000000,2954000000,8812000000,11670000000,7528000000,8086000000,9644000000,13202000000,11760000000,7655000000,18250000000
Kenya,93480000,169700000,360000000,533970000,800940000,533970000,464000000,233400000,300000000,220200000,247160000
Laos,38600000,45560000,58880000,113210000,202550000,166400000,193910000,185000000,293100000,498000000,557800000
Morocco,286200000,342750000,1880000000,1438000000,2621580000,1900000000,1178420000,220000000,261860000,25800000,1038770000
Mexico,799700000,1207000000,2129500000,2117600000,4502040000,2886900000,3586600000,6613800000,3597650000,2717210000,4211500000
Montenegro,260200000,117600000,132200000,146800000,161400000,154600000,197600000,240600000,59750000,44350000,52220000
Nigeria,443900000,877000000,261900000,334600000,607300000,880000000,743000000,708000000,921000000,1224000000,2600000000
Nicaragua,425000000,143000000,130000000,39670000,76000000,63400000,48660000,84990000,121320000,157650000,183980000
